id	ER_ratio	TM_regions	multipass	number_of_SP	sequence_length	singlepass	typeI	typeII	TM01_start	TM_proportion	len_TMD_mean	TM01_lipo	lipo_mean_all_TM_res	lipo_last_TMD	Cell_membrane	Endoplasmic_reticulum	Golgi_apparatus	GPCR	olfactory_receptor	Glyco_number	binding_sites_number	nucleotide_bs_number	uniprot_KWs	C	F	P
A4IF30	0.02074606834968711	10.0	True	0.0	521.0	False	False	False	165.0	41.842610364683296	21.8	0.1838095238095238	0.25004587155963304	-0.02523809523809523	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Transport']	['intrinsic component of membrane']	['transporter activity', 'molecular_function']	[]
A5PLL7	-0.009188822651503043	4.0	True	0.0	270.0	False	False	False	44.0	30.740740740740733	20.75	0.34545454545454546	0.37951807228915657	0.394	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Endoplasmic reticulum', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	['protein binding', 'transferase activity', 'molecular_function']	[]
A5X5Y0	0.00537117699103176	5.0	True	0.0	456.0	False	False	False	10.0	22.149122807017545	20.2	0.35047619047619044	0.23861386138613866	0.14086956521739133	False	False	False	False	False	1.0	0.0	0.0	['Alternative splicing', 'Cell membrane', 'Complete proteome', 'Disulfide bond', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Ligand-gated ion channel', 'Membrane', 'Polymorphism', 'Receptor', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix', 'Transport']	['intrinsic component of membrane', 'plasma membrane']	['signal transducer activity', 'molecular_function', 'receptor activity', 'transporter activity']	[]
A6H8M9	0.003012351710370946	1.0	False	0.0	788.0	True	True	False	691.0	2.538071065989848	20.0	0.060499999999999984	0.060499999999999984	0.060499999999999984	False	False	False	False	False	1.0	0.0	0.0	['Alternative splicing', 'Calcium', 'Cell adhesion', 'Complete proteome', 'Glycoprotein', 'Membrane', 'Polymorphism', 'Reference proteome', 'Repeat', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane', 'cellular_component', 'membrane']	['metal ion binding']	['biological_process', 'cell adhesion']
A6NC51	0.0053464876598329795	6.0	True	0.0	233.0	False	False	False	7.0	56.223175965665256	21.83333333333333	0.007826086956521731	0.14595419847328242	0.06363636363636363	False	False	False	False	False	1.0	0.0	0.0	['Autophagy', 'Cell membrane', 'Complete proteome', 'Cytoplasmic vesicle', 'Endosome', 'Glycoprotein', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['plasma membrane', 'intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	[]	['metabolic process', 'biological_process']
A6NCQ9	0.0043299030781423385	1.0	False	0.0	220.0	True	False	False	191.0	11.363636363636365	25.0	-0.007200000000000027	-0.007200000000000027	-0.007200000000000027	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Metal-binding', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Zinc', 'Zinc-finger']	['catalytic complex', 'intracellular', 'intrinsic component of membrane', 'nucleus', 'cellular_component']	['transferase activity', 'metal ion binding']	['metabolic process', 'biological_process', 'proteolysis', 'regulation of metabolic process']
A6ND48	0.0005925721457150183	7.0	True	0.0	311.0	False	False	False	23.0	46.94533762057878	20.857142857142858	-0.04833333333333334	0.1817808219178082	0.3575	False	False	False	True	True	1.0	0.0	0.0	['Cell membrane', 'Complete proteome', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Olfaction', 'Polymorphism', 'Receptor', 'Reference proteome', 'Sensory transduction', 'Transducer', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	['signal transducer activity', 'molecular_function', 'receptor activity']	['biological_process', 'signal transduction']
A6NDA9	0.0011973170091231064	1.0	False	0.0	550.0	True	True	False	463.0	4.181818181818182	23.0	0.0834782608695652	0.0834782608695652	0.0834782608695652	False	False	False	False	False	1.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Disulfide bond', 'Glycoprotein', 'Immunoglobulin domain', 'Leucine-rich repeat', 'Membrane', 'Polymorphism', 'Reference proteome', 'Repeat', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NDD5	0.010765308813641385	2.0	True	0.0	238.0	False	False	False	162.0	19.327731092436977	23.0	0.07619047619047621	0.04847826086956525	0.025199999999999983	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Golgi apparatus', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'cytoplasm', 'intracellular', 'cellular_component']	[]	['response to biotic stimulus']
A6NDV4	0.009397253099120472	7.0	True	0.0	472.0	False	False	False	233.0	29.237288135593214	19.714285714285715	0.09545454545454543	0.21775362318840571	0.4325	False	False	False	False	False	2.0	0.0	0.0	['Alternative splicing', 'Cell adhesion', 'Cell membrane', 'Complete proteome', 'Cytoplasm', 'Disulfide bond', 'EGF-like domain', 'Endoplasmic reticulum', 'Glycoprotein', 'Growth regulation', 'Membrane', 'Mitochondrion', 'Nucleus', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['plasma membrane', 'intracellular', 'intrinsic component of membrane', 'nucleus', 'cytoplasm', 'cellular_component']	[]	['biological_process', 'cell adhesion']
A6NEH6	0.013435032571570346	2.0	True	0.0	219.0	False	False	False	176.0	13.698630136986301	15.0	-0.034	-0.032	-0.029999999999999964	False	False	False	False	False	0.0	0.0	0.0	['Coiled coil', 'Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'cytoplasm', 'intracellular', 'cellular_component']	[]	[]
A6NFC5	0.005532035156950752	4.0	True	0.0	223.0	False	False	False	6.0	40.35874439461881	22.5	-0.06565217391304347	0.06522222222222221	0.2261904761904761	False	False	False	False	False	1.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Endoplasmic reticulum', 'Glycoprotein', 'Membrane', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['plasma membrane', 'intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	[]	[]
A6NFE2	0.006103561347898844	1.0	False	0.0	343.0	True	False	False	282.0	5.539358600583091	19.0	0.16000000000000006	0.16000000000000006	0.16000000000000006	False	False	False	False	False	0.0	0.0	0.0	['Coiled coil', 'Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NFR6	-0.004350624600332532	1.0	False	0.0	353.0	True	False	False	37.0	6.232294617563739	22.0	-0.1086363636363636	-0.1086363636363636	-0.1086363636363636	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NFY4	0.001064008034554583	7.0	True	0.0	417.0	False	False	False	6.0	33.093525179856115	19.714285714285715	0.5838888888888888	0.17065217391304352	0.26210526315789473	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Membrane', 'Nucleus', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intracellular', 'intrinsic component of membrane', 'membrane', 'nucleus', 'cellular_component']	[]	[]
A6NGA9	0.0019889033966695863	4.0	True	0.0	273.0	False	False	False	57.0	32.234432234432234	22.0	0.2314285714285714	0.16545454545454544	0.3876190476190477	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NGY5	-6.337062071452872e-06	7.0	True	0.0	319.0	False	False	False	36.0	48.27586206896552	22.0	0.10869565217391304	0.27	0.5719047619047619	False	False	False	True	True	0.0	0.0	0.0	['Cell membrane', 'Complete proteome', 'Disulfide bond', 'G-protein coupled receptor', 'Membrane', 'Olfaction', 'Polymorphism', 'Receptor', 'Reference proteome', 'Sensory transduction', 'Transducer', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	['signal transducer activity', 'molecular_function', 'receptor activity']	[]
A6NH00	0.0006003503046908558	8.0	True	0.0	312.0	False	False	False	23.0	52.564102564102576	20.5	0.02679999999999997	0.2622560975609756	0.3390000000000001	False	False	False	True	True	2.0	0.0	0.0	['Cell membrane', 'Complete proteome', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Olfaction', 'Polymorphism', 'Receptor', 'Reference proteome', 'Sensory transduction', 'Transducer', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	['signal transducer activity', 'molecular_function', 'receptor activity']	['biological_process', 'signal transduction']
A6NH21	0.007650833360223978	11.0	True	0.0	518.0	False	False	False	21.0	43.82239382239382	20.63636363636364	0.5557894736842105	0.15189427312775328	0.026666666666666644	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Lipid biosynthesis', 'Lipid metabolism', 'Membrane', 'Phospholipid biosynthesis', 'Phospholipid metabolism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	['transporter activity', 'molecular_function']	['biosynthetic process', 'metabolic process', 'lipid metabolic process', 'biological_process']
A6NH52	0.006620398447094503	4.0	True	0.0	213.0	False	False	False	33.0	41.31455399061033	22.0	0.3554166666666667	0.17625000000000002	0.31681818181818183	False	False	False	False	False	0.0	0.0	0.0	['Alternative splicing', 'Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	[]	['biological_process', 'transport']
A6NIL9	0.0007925606171381785	1.0	False	0.0	109.0	True	False	False	24.0	20.183486238532108	22.0	0.11045454545454547	0.11045454545454547	0.11045454545454547	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	['transporter activity', 'nucleoside-triphosphatase activity', 'molecular_function', 'hydrolase activity']	[]
A6NIM6	0.004676687875997635	12.0	True	0.0	579.0	False	False	False	43.0	37.82383419689119	18.25	0.34	0.19474885844748852	0.04199999999999999	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Peptide transport', 'Polymorphism', 'Protein transport', 'Reference proteome', 'Symport', 'Transmembrane', 'Transmembrane helix', 'Transport']	['intrinsic component of membrane']	['transporter activity', 'molecular_function']	['biological_process', 'transport']
A6NJW4	0.0053367252037513505	1.0	False	0.0	275.0	True	False	False	224.0	7.636363636363638	21.0	0.10809523809523812	0.10809523809523812	0.10809523809523812	False	False	False	False	False	1.0	0.0	0.0	['Complete proteome', 'Glycoprotein', 'Leucine-rich repeat', 'Membrane', 'Reference proteome', 'Repeat', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'cytoplasm']	['molecular_function']	['response to chemical', 'phosphorylation', 'signal transduction', 'biological_process', 'metabolic process', 'regulation of metabolic process']
A6NJY1	0.00580100666143675	8.0	True	0.0	282.0	False	False	False	17.0	59.219858156028366	20.875	0.42	0.3617964071856288	0.2809523809523809	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	['transporter activity', 'molecular_function']	[]
A6NKF7	0.007649962903407846	3.0	True	0.0	163.0	False	False	False	45.0	35.58282208588957	19.33333333333333	0.3963157894736842	0.14017241379310347	0.07549999999999997	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NKW6	0.01401739880703782	1.0	False	0.0	160.0	True	False	False	67.0	15.625	25.0	-0.1612	-0.1612	-0.1612	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NL05	0.013240112991660093	1.0	False	0.0	159.0	True	False	False	123.0	10.062893081761008	16.0	-0.071875	-0.071875	-0.071875	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NL99	0.01265968031806446	7.0	True	0.0	342.0	False	False	False	37.0	41.812865497076025	20.428571428571427	0.2871428571428571	0.31223776223776223	0.13619047619047614	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Repeat', 'Transmembrane', 'Transmembrane helix', 'Transport']	['intrinsic component of membrane']	['transporter activity', 'molecular_function']	[]
A6NLX4	0.01063602483446298	1.0	False	0.0	147.0	True	True	False	44.0	19.727891156462587	29.0	-0.04931034482758622	-0.04931034482758622	-0.04931034482758622	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NM76	0.0004866837636300123	7.0	True	0.0	312.0	False	False	False	23.0	47.115384615384606	21.0	0.05280000000000002	0.16918367346938773	0.4095	False	False	False	True	True	1.0	0.0	0.0	['Cell membrane', 'Complete proteome', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Olfaction', 'Receptor', 'Reference proteome', 'Sensory transduction', 'Transducer', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	['signal transducer activity', 'molecular_function', 'receptor activity']	[]
A6NMB1	-0.017178471294562972	1.0	False	0.0	481.0	True	True	False	436.0	4.573804573804575	22.0	-0.03863636363636363	-0.03863636363636363	-0.03863636363636363	False	False	False	False	False	4.0	1.0	0.0	['Cell adhesion', 'Complete proteome', 'Disulfide bond', 'Glycoprotein', 'Immunoglobulin domain', 'Lectin', 'Membrane', 'Reference proteome', 'Repeat', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	['carbohydrate binding']	['response to biotic stimulus', 'response to stress', 'biological_process', 'cell adhesion']
A6NML5	0.0014522599482824808	4.0	True	0.0	194.0	False	False	False	11.0	37.62886597938145	18.25	0.011428571428571418	0.1373972602739726	0.15260869565217391	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A6NND4	0.006880421686030758	7.0	True	0.0	320.0	False	False	False	30.0	46.875	21.428571428571427	-0.1036	0.1878	0.3545	False	False	False	True	True	1.0	0.0	0.0	['Cell membrane', 'Complete proteome', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Olfaction', 'Receptor', 'Reference proteome', 'Sensory transduction', 'Transducer', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	['signal transducer activity', 'molecular_function', 'receptor activity']	['biological_process', 'response to chemical', 'signal transduction']
A6NNN8	0.009454012354488157	11.0	True	0.0	435.0	False	False	False	30.0	54.71264367816092	21.63636363636364	0.2885	0.2210504201680672	0.2645833333333333	False	False	False	False	False	0.0	0.0	0.0	['Amino-acid transport', 'Complete proteome', 'Disease mutation', 'Ion transport', 'Membrane', 'Polymorphism', 'Reference proteome', 'Sodium', 'Sodium transport', 'Transmembrane', 'Transmembrane helix', 'Transport']	['intrinsic component of membrane']	['transporter activity', 'molecular_function']	['biological_process', 'transport']
A7MBM2	0.0059457934720286145	11.0	True	0.0	1401.0	False	False	False	169.0	17.844396859386148	22.72727272727273	-0.06043478260869568	0.13175999999999996	0.145	False	False	False	False	False	3.0	0.0	0.0	['Complete proteome', 'Glycoprotein', 'Membrane', 'Methylation', 'Polymorphism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	[]	['biological_process', 'signal transduction']
A8K4G0	0.010245026072408495	1.0	False	0.0	201.0	True	True	False	150.0	11.442786069651742	23.0	0.05652173913043476	0.05652173913043476	0.05652173913043476	False	False	False	False	False	0.0	0.0	0.0	['Cell membrane', 'Complete proteome', 'Disulfide bond', 'Immunity', 'Immunoglobulin domain', 'Membrane', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane', 'plasma membrane']	[]	['response to stress', 'biological_process']
A8MTT3	0.005339438465524044	1.0	False	0.0	80.0	True	False	False	12.0	25.0	20.0	0.187	0.187	0.187	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Mitochondrion', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	[]	[]
A8MVS5	-0.0008373316936917482	1.0	False	0.0	230.0	True	True	False	119.0	10.434782608695652	24.0	-0.12958333333333336	-0.12958333333333336	-0.12958333333333336	False	False	False	False	False	2.0	0.0	0.0	['Complete proteome', 'Glycoprotein', 'Membrane', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A8MVW0	0.012093896081866487	1.0	False	0.0	826.0	True	True	False	316.0	2.905569007263922	24.0	-0.2916666666666667	-0.2916666666666667	-0.2916666666666667	False	False	False	False	False	4.0	0.0	0.0	['Complete proteome', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A8MVZ5	-0.00042337763404816814	1.0	False	0.0	291.0	True	True	False	250.0	8.59106529209622	25.0	0.11039999999999996	0.11039999999999996	0.11039999999999996	False	False	False	False	False	1.0	0.0	0.0	['Complete proteome', 'Disulfide bond', 'Glycoprotein', 'Immunoglobulin domain', 'Membrane', 'Reference proteome', 'Signal', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
A8MWK0	-0.0014710198339499107	3.0	True	0.0	482.0	False	False	False	196.0	12.240663900414937	19.666666666666668	0.3661111111111111	0.2694915254237288	0.31000000000000005	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Electron transport', 'Endoplasmic reticulum', 'Fatty acid biosynthesis', 'Fatty acid metabolism', 'Heme', 'Iron', 'Lipid biosynthesis', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Oxidoreductase', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Transport']	['intracellular', 'intrinsic component of membrane', 'membrane', 'cytoplasm', 'cellular_component']	['oxidoreductase activity', 'metal ion binding']	['lipid metabolic process', 'biological_process', 'biosynthetic process', 'metabolic process', 'small molecule metabolic process']
A8MWV9	0.009885164003210406	1.0	False	0.0	139.0	True	False	False	49.0	15.107913669064748	21.0	0.027619047619047626	0.027619047619047626	0.027619047619047626	False	False	False	False	False	0.0	0.0	0.0	['Complete proteome', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	['intrinsic component of membrane']	[]	[]
